Publisher Label,Publisher URI,Site reference,Site_name,Summary,Description 1,Description_2,Type 1,Type 2,Tags,Address_1,Address 2,Address 3,Postcode,Website 1,Website 2,Email,Phone,Category Attraction,Category - arts and culture,Category - food/drink producer,Category - nature/environment,Category - history/heritage,Category - ative lifestyles/sports,Category - open spaces,Category - shopping/retail,Category - family friendly,Category - venue for events,Venue_Description,All_Weather,Opening_Times,Accessibility,Pet friendly,Parking,Visit Time,UPRN,Easting,Northing,Latitude,Longitude,NSC_Map_Link,Google_Map_Link,Walk_Time_Bus,Nearest_Bus_Stop,Walk_Time_Train,Nearest_Train_Station,Directions,Nearest Bus Service,Image,Cost Free,Cost Details,Slug
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,72,Sandford Station Railway Heritage Centre,An iconic historic railway station that has been restored to its former glory.,"Step inside the vintage carriage, complete with compartments and guards van, and browse the authentic railway  artefacts.  Located close to the Strawberry Line and National Cycle network route 26 that follows the disused railway line.",,Historic Structure/site,History,Historic structure/site; Cafe; Goods for sale; Exhibitions,Sandford Station Railway Heritage Centre,Station Road,Sandford,BS25 5AA,http://sandfordstation.co.uk/,,info@sandfordstation.co.uk,,0,0,0,0,1,0,0,0,1,0,,indoors and outdoors,"seasonal restrictions and special opening times apply, please see website for more details",accessible,yes,onsite parking available,up to 2 hours,24135025,341623,159552,51.33204807,-2.839316089,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=341622.61&y=159552.18,"https://www.google.co.uk/maps/place/@51.33204806614048,-2.8393160885405915,17z",Less than 15 minutes,62,Over 60 minutes,Worle Parkway Railway Station,,,https://farm1.staticflickr.com/370/19861058443_3d52fcf49a.jpg,1,,Sandford-Station-Railway-Heritage-Centre
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,71,Puxton Park,"Family adventure park with massive indoor play barn, pets village and falconry centre.","Outside visitors can enjoy mini golf, the Puxton Park Miniature Railway, a falconry centre, maze, giant fort and JCB dig area

Get up close with friendly farmyard animals, rabbits and guinea pigs during feeding and petting times throughout the day. There are also live milking demonstrations to enjoy. 

The falconry centre hosts daily flying displays and a special owl encounter.",The Meadows restaurant and farm shop on site serving the best in local produce,Attraction,Family friendly,Attraction; Family friendly; Farm shop; Play area;  Outdoors and active; Restaurant,Puxton Park,Cowslip Lane,Hewish,BS24 6RQ,http://www.puxton.co.uk,,info@puxton.co.uk,01934 523500,1,0,0,1,0,1,1,1,1,1,Available for hire for parties and conferences,indoors and outdoors,open all year except main bank holidays - see website,accessible - check website for restrictions,check website for more details,onsite parking available,up to a whole day,24126195,339496,162895,51.3618819,-2.870405154,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=339496&y=162895,"https://www.google.co.uk/maps/place/@51.36188190152126,-2.8704051535813075,17z",Less than 15 minutes,135,30 - 60 minutes,Worle Parkway Railway Station,,,https://c1.staticflickr.com/9/8764/17538369233_44d7e02f84.jpg,0,entry charges apply,Puxton-Park
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,70,Portishead Quays Marina and Arts Trail,"A 5 Gold Anchor rated marina and public art trail that weaves and winds throughout the Portishead Marina, encouraging you to explore the past and present of this popular town.","The stimulating and thought provoking public arts trail takes in the marina and dockside development, including the former historic dock, fishing village, restaurants and shops. The walk offers extensive coastal views of the Severn Estuary",,Walking,Art and culture,Walking; Art and culture; Landscape; Nature; History; Outdoors and active,Portishead Quays,The Docks,Portishead,BS20 7DF,http://www.quaymarinas.com/Marinas/PortisheadQuays/,http://www.publicartportishead.co.uk,,,0,1,0,0,1,0,1,0,1,0,,outdoors,open all year,accessible - check website for restrictions,dog friendly,public parking is available nearby,up to 4 hours,24137100,347509,177256,51.49180158,-2.757454819,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=347509.22&y=177256.36,"https://www.google.co.uk/maps/place/@51.4918015787626,-2.7574548189891144,17z",Less than 15 minutes,X3A,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm9.staticflickr.com/8887/18164706861_ec3f2ec8ba.jpg,1,,Portishead-Quays-Marina-and-Arts-Trail
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,69,Portishead Open Air Pool,Take the plunge in the 33m heated outdoor pool whatever the weather,"The open air pool is a great place to relax and have a swim whilst still enjoying the great outdoors. 

The pool also has great views of the Bristol Channel.",,Attraction,Outdoors and active,Watersports; Active/sports,Portishead Open Air Pool,Esplanade Road,Portishead,BS20 7HD,http://www.portisheadopenairpool.org.uk,,info@portisheadopenairpool.org.uk,01275 843 454,1,0,0,0,1,1,0,0,1,0,,outdoors,seasonal restrictions apply - see website,some restrictions - check website,check website for more details,public parking is available nearby,up to 2 hours,24065400,346499,177499,51.49388834,-2.772041464,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=346499&y=177499,"https://www.google.co.uk/maps/place/@51.49388834172038,-2.772041463617023,17z",Less than 15 minutes,88,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm1.staticflickr.com/265/20093398610_a450be9fc2.jpg,0,entry charges apply,Portishead-Open-Air-Pool
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,68,Portishead Library,Library,Library Portishead,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",Horation House,24 Harbour Rd,Portishead,BS20 7AL,http://www.n-somerset.gov.uk/services/portishead-library/,,portishead.library@n-somerset.gov.uk,01934 426 040,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24137140,346838.44,176605.01,51.48588267,-2.767017402,,"https://www.google.co.uk/maps/place/@51.48588267050477,-2.7670174022539316,17z",Less than 15 minutes,X3A,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2017/01/portishead_lib.jpg,1,Free,Portishead-Library
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,67,Poets Walk Local Nature Reserve,"Situated on the coast with magnificent views, Poets Walk consists of Church Hill and Wains Hill, the latter being the site of an Iron Age hill fort � a Scheduled Monument under the protection of English Heritage.","The name reflects the poets and writers including Tennyson and Coleridge who have visited Clevedon in the past.

The nature reserve has interesting paths, stunning coastal views from the cliff top walk, and is home to varied wildlife including many wintering and migrating birds.",,Nature reserve,Outdoors and active,Landscape; Nature; Outdoors and active; Picnic area; Walking,Poet's Walk,,Clevedon,,http://www.avonlocalnaturereserves.org.uk/reserve.asp?id=26,,,,0,0,0,1,1,1,1,0,1,0,,outdoors,open all year,some steep gradients,dog friendly,public parking is available nearby,up to 4 hours,10023718899,339247,170643,51.43151489,-2.875310151,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=339247&y=170643,"https://www.google.co.uk/maps/place/@51.43151489287714,-2.875310151467023,17z",Less than 15 minutes,X6,Over 60 minutes,Yatton Railway Station,,,https://c2.staticflickr.com/8/7791/17973613038_520e49985f.jpg,1,,Poet-s-Walk-Local-Nature-Reserve
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,66,Playhouse Theatre,"Located in the centre of Weston super Mare, the Playhouse is a friendly and welcoming 664 seat theatre which offers a lively and diverse programme of events","The Playhouses high quality programme of professional and community events includes around 300 performances per year including music, drama, comedy, dance, musicals, film, childrens shows and pantomime.",,Theatre,Attraction,Theatre; Music; Dance; Family Friendly;Venue,The Playhouse,High Street,Weston-Super-Mare,BS23 1HP,http://www.theplayhouse.co.uk,,,01934 645544,1,1,0,0,1,0,0,0,1,1,Available for hire for theatre and performing arts,indoors,special dates only - see website,"this location is believed to be accessible, but please contact site for details of any restrictions",please contact this site for more details,public parking is available nearby,up to 4 hours,24002241,331934,161743,51.35066364,-2.97915505,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331934&y=161743,"https://www.google.co.uk/maps/place/@51.350663636384546,-2.979155049642013,17z",Less than 15 minutes,C2,15 - 30 minutes,Weston-super-Mare Railway Station,,,https://c2.staticflickr.com/8/7745/18161192475_086d5eb9a8.jpg,0,"price per performance, details are available from the venue",Playhouse-Theatre
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,65,Plantation Lakes fishing lakes,"Plantation Lakes were created in 1994 and have established as a popular location for fishing for Carp, Crucian Carp, Roach, Rudd, Tench, Bream and Perch","Events held throughout the year, see website for details.",,Fishing,Outdoors and active,Fishing; Outdoors and active,Plantation Lakes,Middle Lane,Kingston Seymour,BS21 6XW,http://www.plantationlakes.co.uk/facilities.htm,,,01934 832325,0,0,0,1,0,1,1,0,0,0,,outdoors,open all year except main bank holidays - see website,some restrictions - check website,check website for more details,onsite parking available,up to a whole day,24037547,339413,167304,51.401513,-2.872350606,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=339413&y=167304,"https://www.google.co.uk/maps/place/@51.40151300119957,-2.8723506061399737,17z",15 - 30 minutes,X5,Over 60 minutes,Yatton Railway Station,,,https://c2.staticflickr.com/8/7771/18160171491_4979b35f04.jpg,0,charges apply,Plantation-Lakes-fishing-lakes
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,64,Pirate Adventureland,"Join the crew for the day! Take on the 18 hole Adventure Golf with the pirates, or attempt the nerve testing Walk The Plank challenge","Are you up for the spectacular high rope challenge? Spectacular views of Weston super Mare await, but are you brave enough?",,Attraction,Family friendly,Attraction; Family friendly; Outdoors and active,Pirate Adventureland,Beach Road,Weston-Super-Mare,BS23 1AT,http://pirateadventureland.com/,,,01934 419666,1,0,0,0,0,1,1,0,1,0,,outdoors,open all year except main bank holidays - see website,some restrictions - check website,check website for more details,public parking is available nearby,up to 4 hours,24142591,331781,161176,51.34555109,-2.980873368,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331780.74&y=161176.04,"https://www.google.co.uk/maps/place/@51.34555108676146,-2.98087336818841,17z",Less than 15 minutes,24,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://farm9.staticflickr.com/8756/17970973598_68d404aa39.jpg,0,entry charges apply,Pirate-Adventureland
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,63,Pill Library,Library,Library Pill,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",Crockerne House,Underbanks,Pill,BS20 0AT,http://www.n-somerset.gov.uk/services/pill-library/,,pill.library@n-somerset.gov.uk,01934 426 070,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24114834,352519,175948,51.48048245,-2.685124659,,"https://www.google.co.uk/maps/place/@51.4804824538267,-2.685124658533437,17z",Less than 15 minutes,X3A,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2017/01/pill_lib.jpg,1,Free,Pill-Library
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,62,Odeon cinema,The Odeon in Weston super Mare shows all the latest blockbusters within a striking art deco building in the heart of town.,"The Odeon is grade II listed, and retains its original Compton organ dating from 1935. The cinema has 4 screens",,Cinema/film,Art and culture,Cinema/film; Art and culture; Family friendly; Attraction,The Centre,Walliscote Road,Weston-Super-Mare,BS23 1UR,http://www.odeon.co.uk/cinemas/weston_super_mare/141/,,,0871 224 4007,1,1,0,0,0,0,0,0,1,1,Cinema available to hire for children's parties and corporate occasions,indoors,open all year except main bank holidays - see website,accessible - check website for restrictions,check website for more details,public parking is available nearby,up to 3 hours,24099888,332130,161306,51.34676134,-2.975884259,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=332130&y=161306,"https://www.google.co.uk/maps/place/@51.346761336672984,-2.9758842590281245,17z",Less than 15 minutes,X5,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://farm1.staticflickr.com/356/19561955849_0589692057.jpg,0,charges apply for entry,Odeon-cinema
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,61,Oakham Treasures,A unique collection of retail and farming memorabilia from the last century,"Oakham Treasures is one of the largest privately owned museums of retail and farming history in the UK. 

Opened to the public since July 2008, it has already become an award winning major attraction, and guarantees to give you an amazing and uplifting trip down memory lane.

Whether 8 or 80, youll be fascinated by this vast and unique collection of memorabilia from the last century. There are thousands of items in the historic stores, including an impressive display of vintage tractors and farm equipment. 

The museum also has a cafe and shop",,Museum,History,Attraction; Museum; History,Oakham Farm,Portbury Lane,Portbury,BS20 7SP,http://www.oakhamtreasures.co.uk,,,,1,0,0,0,1,0,0,1,1,0,,indoors,open all year except main bank holidays - see website,fully accessible,check website for more details,onsite parking available,up to 4 hours,24074462,350276,174329,51.46574741,-2.717740363,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=350276&y=174329,"https://www.google.co.uk/maps/place/@51.465747414520266,-2.717740363201092,17z",Less than 15 minutes,88,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm8.staticflickr.com/7731/17971264180_c963dd6ff8.jpg,0,entry charges apply,Oakham-Treasures
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,60,North Somerset Arts Week,This biennial event sees the mix of North Somerset’s creative talent taking centre stage in North Somerset Arts Week.,"Participating artists, work in a variety of mediums, and this 10 day event represents a range of disciplines, including painting & drawing, ceramics & glass, sculptures; wood and metal works, mixed media, textiles, jewellery, digital media, photography, storytelling, music, theatre, and filmmaking.",,Arts and culture,Community,Arts and culture; paintings;shopping;gallery; exhibition; artists; ceramics; sculpture,Across North Somerset,,,,http://www.northsomersetarts.org/,,hello@nsomersetarts.org,07773 597743,0,1,0,0,0,0,0,1,1,0,,indoors,Special dates only - see website,check website,No,Check website for specific venue information,Up to 3 hours,,343434,167500,51.40369125,-2.814584928,http://map.n-somerset.gov.uk/MyNS.html?scale=200000&x=343413&y=167304,"https://www.google.co.uk/maps/place/@51.403691253928024,-2.8145849280781614,17z",15 - 30 minutes,X7,30 - 60 minutes,Yatton Railway Station,,,https://farm2.staticflickr.com/1442/24311017681_b45d399cfd.jpg,1,,North-Somerset-Arts-Week
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,59,Noahs Ark Zoo Farm,Home of the big zoo animals and adventure play for all the family,"Noahs Ark zoo farm has got all the big animals youd hope to see, including elephants, rhinos, giraffes, tigers and lions. Theres also lots of smaller animals and birds, including a petting area where kids (and big kids) can get hands on with cute and cuddly animals. 

There are also 12 indoor and outdoor play areas to explore and use up some energy!",,Attraction,Family friendly,Attraction; Family friendly; Play area; Shop; Outdoors and active; Restaurant; Venue,Noah's Ark Zoo Farm,Clevedon Road,Wraxall,BS48 1PG,http://www.noahsarkzoofarm.co.uk,,info@noahsarkzoofarm.co.uk,01275 852 606,1,0,0,1,0,0,1,0,1,1,Available for hire for children's parties,indoors and outdoors,open all year except main bank holidays - see website,some restrictions - check website,check website for more details,onsite parking available,up to a whole day,24072826,348688,173146,51.45495432,-2.739879254,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=348688&y=173146,"https://www.google.co.uk/maps/place/@51.45495431926824,-2.7398792543112456,17z",Less than 15 minutes,X6,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm9.staticflickr.com/8842/17971263520_98e33f196e.jpg,0,entry charges apply,Noah-s-Ark-Zoo-Farm
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,58,Nailsea Tithe Barn,Historic restored tithe barn dating from 1480 and with adjacent Holy Trinity Church is part of Nailseas historic heart.,"A school for over 200 years, the tithe barn has now been fully restored to its medieval origins and is a valued community asset. The Tithe barn regularly holds activities for all ages, from live music to sports",,Venue,Historic structure/site,Historic Structure/site; Music; Dance; Active/sports; Venue,The Tithe Barn,St Marys Grove,Nailsea,BS48 4NQ,http://www.nailseatithebarn.co.uk/,,enquiries@nailseatithebarn.co.uk,01275 855277,0,1,0,0,1,1,0,0,0,1,Available for hire for parties and events,indoors,seasonal restrictions apply - see website,accessible - check website for restrictions,check website for more details,public parking is available nearby,up to 4 hours,24133272,346576,169901,51.42558356,-2.769782542,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=346576&y=169901,"https://www.google.co.uk/maps/place/@51.42558356239675,-2.7697825421587337,17z",Less than 15 minutes,X54,15 - 30 minutes,Nailsea and Backwell Railway Station,,,https://farm2.staticflickr.com/1461/24025549759_984834b9c3.jpg,1,charges may apply for some events or activities,Nailsea-Tithe-Barn
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,57,Nailsea Library,Library,Library Nailsea,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",Somerset Square,,Nailsea,BS48 1RQ,http://www.n-somerset.gov.uk/services/nailsea-library/,,nailsea.library@n-somerset.gov.uk,01934 426 030,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24067942,347280,170741,51.4332019,-2.75978317,,"https://www.google.co.uk/maps/place/@51.43320189861383,-2.75978316950999,17z",Less than 15 minutes,X9,30 - 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2017/01/nailsea_lib.jpg,1,Free,Nailsea-Library
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,56,Murrays of Clevedon,"Shop, delicatessen and restaurant selling the very best quality locally produced food and drink",,,Food and Drink,Goods for sale,Food and drink; Goods for sale; Shop,87-91,Hill Road,Clevedon,BS21 7PN,http://www.murraysofclevedon.co.uk,,luke@murraysofclevedon.co.uk,01275 341 222/ 01275 341555,0,0,1,0,0,0,0,1,0,0,,indoors,open all year except main bank holidays - see website,accessible - check website for restrictions,check website for more details,public parking is available nearby,up to 2 hours,24141906,340461,171965,51.44352691,-2.858068756,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=340461.21&y=171964.69,"https://www.google.co.uk/maps/place/@51.44352690931302,-2.8580687558139086,17z",Less than 15 minutes,X5,Over 60 minutes,Yatton Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/08/radishes-e1439815658752.jpg,1,,Murrays-of-Clevedon
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,55,Middle Hill Common Local Nature Reserve,"A picturesque area of Common land that supports varied plants , invertebrates and butterflies, as well as being popular for walks and horse riding","The habitats on the Common comprise unimproved limestone grassland, scrub and broad leaved woodland. The grassland sward varies in height supporting a range of flowering plants and providing a varied habitat for invertebrates and butterflies.",,Nature reserve,Walking,Landscape; Nature; Outdoors and active;  Picnic area; Walking,Middle Hill Common Local Nature Reserve,Hill Lane,Weston-In-Gordano,,http://www.avonlocalnaturereserves.org.uk/reserve.asp?id=25,,,,0,0,0,1,0,1,1,0,1,0,,outdoors,open all year,some steep gradients,dog friendly,public parking is available nearby,up to 2 hours,10023715656,344575,174276,51.46472547,-2.799245952,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=344575&y=174276,"https://www.google.co.uk/maps/place/@51.46472547333886,-2.7992459523299487,17z",Less than 15 minutes,X5,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm8.staticflickr.com/7742/17972659589_c28e4ee7ab.jpg,1,,Middle-Hill-Common-Local-Nature-Reserve
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,54,Mendip Sports Snowcentre,The place to go for an adrenaline rush! The centre has a range of facilities including floodlit 165 metre dry slope and exciting outdoor pursuits for all ages,"Mendip continues to grow the number of amazing activities available, including skiing, snowboarding, watersports, rock sports, land sports and target sports.

This is where 2014 Winter Olympics medallist Jenny Jones first learned to snowboard, so even when its warm you can get your ski skills up to scratch.

The Alpine Lounge also offers locally sourced food and drink.","Why not also have a go at disc golf through the woods or become the next Bear Grylls by learning bushcraft? 

All classes led by trained instructors, booking is essential for most activities",Attraction,Outdoors and active,Active/sports; Nature; Restaurant,Mendip Sports Snowcentre,Lyncombe Drive,Churchill,BS25 5PQ,http://www.mendipsnowsport.co.uk,,info@mendip.me,01934 834 877,1,0,0,1,0,1,1,0,1,1,"Available to hire for activities, parties and events",outdoors,open all year except main bank holidays - see website,some restrictions - check website,check website for more details,onsite parking available,up to a whole day,24141742,343422,159334,51.3302666,-2.813459459,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=343421.79&y=159333.61,"https://www.google.co.uk/maps/place/@51.33026659831448,-2.8134594588175754,17z",Less than 15 minutes,62,Over 60 minutes,Yatton Railway Station,,,https://farm1.staticflickr.com/405/20287708721_755565b785.jpg,0,charges apply for sports and events,Mendip-Sports-Snowcentre
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,53,Made in North Somerset Festival,"The Made in North Somerset festival  a three week celebration of local food, drink, art and crafts.",The aim of the festival is to showcase our fantastic North Somerset producers from the artisan to those now exporting worldwide and everything in between.,,Arts and culture,Community,Event; Arts and culture; crafts; food and drink; local producers,Across North Somerset,,,,http://innorthsomerset.co.uk/get-involved/made-in-north-somerset,,Mandie.Berry@n-somerset.gov.uk,01934 426 341,0,1,1,0,0,0,0,1,1,0,,Indoors and outdoors,Special dates only - see website,check website,check with site,Check website for specific venue information,Up to 3 hours,,343434,167500,51.40369125,-2.814584928,http://map.n-somerset.gov.uk/MyNS.html?scale=200000&x=343413&y=167304,"https://www.google.co.uk/maps/place/@51.403691253928024,-2.8145849280781614,17z",15 - 30 minutes,X7,30 - 60 minutes,Yatton Railway Station,,,https://farm2.staticflickr.com/1485/24396440905_b6b85338f0.jpg,1,,Made-in-North-Somerset-Festival
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,52,Lye Cross Farm Shop,"High quality farm shop selling home produced meat and cheese, daily fresh bread and Somerset grown fruit and veg",Produce is seasonally sold at local farmers markets.,,Food and Drink,Farm shop,Farm shop; Food and drink; Goods for sale,Lye Cross Farm,,Redhill,BS40 5RH,http://www.lyecrosscheese.co.uk,,enquiries@lyecrosscheese.co.uk,01934 864 613,0,0,1,0,0,0,0,1,0,0,,indoors,open all year except main bank holidays - see website,accessible - check website for restrictions,check website for more details,onsite parking available,up to 30 minutes,24072994,349051,162251,51.35703038,-2.73308798,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=349051&y=162251,"https://www.google.co.uk/maps/place/@51.35703037853205,-2.733087980478052,17z",Less than 15 minutes,A5,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm9.staticflickr.com/8800/17536399714_8ef7d22dd2.jpg,1,,Lye-Cross-Farm-Shop
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,51,LT Gallery,LT Gallery is a new space for displaying art in Weston Super Mare,"With changing exhibitions of work in a variety of different media including painting, drawing, photography, printmaking, woodwork and mixed media. We look forward to welcoming you at the gallery during our opening hours, or at other times if you would like to contact us to arrange an appointment. Our aim is to provide a dynamic link between artists, students, visitors and the wider art community.",,Arts and culture,,,1 Ochard Street,Weston-Super-Mare,,BS23 1RG,http://www.ltgallery.com/,,ltgallery@hotmail.com,7730431726,1,1,0,0,0,0,0,0,1,0,0,indoors,Please see website for opening times,check website,No,Check website,Up to 3 hours,24009680,332116,161394,51.34755083,-2.976102051,,"https://www.google.co.uk/maps/place/@51.34755083379749,-2.976102050668761,17z",Less than 15 minutes,X1,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://c1.staticflickr.com/1/711/31232506434_b220317c51.jpg,0,Free,LT-Gallery
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,50,Lower Failand Organic Farm,"Local producers with beef from South Devon and Red Poll Cattle, lambs from Poll Dorset sheep, eggs, chickens and vegetables all certified by the Soil Association.","The farm also produces amazing pies using locally reared beef and organic flour. 

The produce is sold at many local markets, contact for more details.",,Food and Drink,Farm shop,Farm shop; Food and drink; Goods for sale,Lower Failand Organic Farm,,Lower Failand,BS48 3SN,,,mjamos@lineone.net,01275 372 415,0,0,1,0,0,0,0,0,0,0,,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,24076301,352097,173668,51.45994748,-2.69089132,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=352097&y=173668,"https://www.google.co.uk/maps/place/@51.45994747869134,-2.6908913196996607,17z",15 - 30 minutes,X3,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/shutterstock_141202663.jpg,0,,Lower-Failand-Organic-Farm
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,49,Lovely Drinks,"Delicious, handmade soft drinks made from local elderflowers, Somerset apples, fresh ginger and English fruits and flowers",More information about forthcoming events is available by contacting Lovely Drinks directly.,,Food and Drink,Drink producer,Drink; Food and drink; Goods for sale,The Old Sawmill Home Farm,Barrow Court Lane,Barrow Gurney,BS48 3RW,,,enquiries@lovelydrinks.co.uk,1275 463229,0,0,1,0,0,0,0,0,0,0,,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,24074829,351827,168231,51.41104001,-2.694036268,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=351827&y=168231,"https://www.google.co.uk/maps/place/@51.411040009692876,-2.694036268425084,17z",15 - 30 minutes,X1,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm8.staticflickr.com/7779/17972758639_808f261a4a.jpg,0,,Lovely-Drinks
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,48,Long Ashton Library,Library,Library Long Ashton,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",Lovelinch Gardens,,Long Ashton,BS41 9AH,http://www.n-somerset.gov.uk/services/long-ashton-library/,,longashton.library@n-somerset.gov.uk,01934 426 060,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24078172,353720,170128,51.42825404,-2.667067462,,"https://www.google.co.uk/maps/place/@51.42825403824866,-2.66706746234297,17z",Less than 15 minutes,X1,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2017/01/long_ashton.jpg,1,Free,Long-Ashton-Library
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,47,Leigh Woods,"Leigh Woods is a beautiful and diverse broadleaf woodland on the plateau above the famous Avon Gorge, boasting superb views across the city to downland beyond.",Leigh Woods has been an intrinsic part of Bristolian life for centuries and is an ever popular destination for walks and picnics.,,Walking,Nature,Dog friendly; Landscape; Nature; Outdoors and active; Picnic area,Leigh Woods,Abbots Leigh Road,Abbots Leigh,,http://www.nationaltrust.org.uk/leigh-woods/,,leighwoods@nationaltrust.org.uk,0117 973 1645,0,0,0,1,1,1,1,0,1,1,Available to hire for cookery lessons and arts and crafts courses,indoors and outdoors,seasonal restrictions apply - see website,some restrictions - check website,"dog friendly, some restrictions",onsite parking available,up to 4 hours,24080655,355268,173946,51.46270701,-2.64528769,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=355268&y=173946,"https://www.google.co.uk/maps/place/@51.46270701155612,-2.645287690426502,17z",15 - 30 minutes,X4,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/shutterstock_278405918.jpg,1,,Leigh-Woods
